№;Описание;Окружение;Шаги воспроизведения;Серьезность;Приоритет;Ожидаемый результат;Фактический результат;
1;На странице поиска товара в логотипе компании ошибка;"Windows 11 Домашняя для одного языка
Версия 23H2
Firedox Browser 124.0.2 (64-разрядный)";"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Посмотреть наверх открывшейся страницы";trivial;high;В логотипе компании нет ошибок. Рисунок и надпись соответствуют названию компании;В логотипе компании, в названии допущена ошибка;
2;На странице поиска товара, при поиске товара отсутствует вкладка для авторизации и входа в личный кабинет;;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Найти вкладку или кнопку для авторизации и входа в личный кабинет на сайте";critical;high;Вверху траницы должна быть кнопка для входа на сайт;Кнопка для авторизации и входав личный кабинет отсутствует;
3;На странице поиска товара, при поиске товара оценка цены от авито находится на разном уровене;;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Посмотреть на товары в которых присутствует оценка цены товара от авито";trivial;normal;Все элементы на странице прописаны четко, все пояснения находятся на одном уровне;Оценка товара от авито находится на разном уровне;
4;На странице поиска товара, при поиске товара фильтр производитель вывел не заданное значение;;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Просмотреть товары отобранные фильтром ""Производитель""";minor;normal;При применении фильтра выводится товар необходимый клиенту;Фильтр вывел товар не указанный покупателем;
5;"На странице поиска товара, при поиске товара фильтр ""Цена"" не отработал";;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Просмотреть товары отобранные фильтром ""Цена""";minor;normal;При применении фильтра выводится товар необходимый клиенту;Фильтр вывел товар с ценой выше указанной покупателем;
6;"На странице поиска товара, при поиске товара фильтр ""Память"" вывел не заданное значение";;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Просмотреть товары отобранные фильтром ""Память""";minor;normal;При применении фильтра выводится товар необходимый клиенту;Фильтр вывел товар с телефоном память которго меньше заданной покупателем;
7;На странице поиска товара, при поиске товара формат отображения товаров выбран на карте, товары же отображаются в виде плитки;;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Посмотреть на формат отображения страницы";major;normal;При выборе формата отображения товара на странице с помощью карты должна открываться карта на которой изображено местоположения товара;При выборе формата отображения товара на странице с помощью карты товары отображаются в формате плитки;
8;"На странице поиска товара, при поиске товара отсутствует чек бокс для выбора ""Сначала из Москвы""";;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Посмотреть на чек бокс ""Сначала из Москвы""";major;normal;"Присутствует чек бокс возле текста ""Сначала из Москвы""";"Отсутствыет чек бокс для выбора ""Сначала из Москвы""";
9;На странице поиска товара, при поиске товара отсутствуют кнопки для перехода на следующую страницу;;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Опуститься вниз страницы
5. Попробовать перейти на следующую страницу";critical;high;Отображаются кнопки для перехода на последующие страницы;Отсутствыуют кнопки для перехода на следующие страницы;
10;На странице поиска товара, при поиске товара на товарах доступных для доставки отсутствует знак доставки;;"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. Посмотреть на товары доступные для доставки";minor;low;Рядом с товаром который доступен для доставки нарисован значок доставки;Отсутствует значек доставки рядом с товаром доступным для доставки;
Во время выполнения задания я ориентировалась на действующий сайт AVITO.По моему мнению есть небольшой недочет который мне удалось увидеть;;;;;;;;
;;;;;;;;
1;"На странице поиска товара, при поиске товара и выставления фильтра ""Цена"" число больше 4 цифр становится не видным для клиента";Windows 11 Домашняя для одного языка Версия 23H2 Firedox Browser 124.0.2 (64-разрядный);"1.Открыть сайт https://www.avito.ru/
2. Перейти во вкладку электроника
3. Перейти по вкладке телефоны
4. В фильтр цена внести число состоящее из 5 цифр";major;normal;Клиент должен видеть вводимое число;Покупатель не видет цену которую он ввел;https://drive.google.com/file/d/1WgYEefpEYEyGWWTGoej6j1l2zM4Lm5U_/view?usp=sharing
